[PERF_PROFILE] cyc=16000000 itlb_lookups=4582870 itlb_misses=170389 ptw_walks_itlb=5784 ptw_walks_dtlb=16898 ptw_busy_cycles=4601332 ptw_faults=6 fe_stall_total=9501397 fe_stall_xlate=3684276 fe_stall_icache=687866 fe_stall_backend=5129255 flush_commit=85000 flush_bru=0 flush_satp=5 dtlb_lookups=4598417 dtlb_misses=380692 dcache_accesses=1962727 dcache_misses=112101
[PERF_PROFILE] cyc=17000000 itlb_lookups=5082652 itlb_misses=170389 ptw_walks_itlb=5784 ptw_walks_dtlb=17273 ptw_busy_cycles=4640780 ptw_faults=6 fe_stall_total=10001431 fe_stall_xlate=4183731 fe_stall_icache=687878 fe_stall_backend=5129822 flush_commit=85295 flush_bru=0 flush_satp=5 dtlb_lookups=4936421 dtlb_misses=393888 dcache_accesses=2197153 dcache_misses=221505
[PERF_PROFILE] cyc=18000000 itlb_lookups=5553991 itlb_misses=170389 ptw_walks_itlb=5784 ptw_walks_dtlb=18481 ptw_busy_cycles=5322458 ptw_faults=17 fe_stall_total=10524972 fe_stall_xlate=4643836 fe_stall_icache=694382 fe_stall_backend=5186754 flush_commit=96934 flush_bru=0 flush_satp=5 dtlb_lookups=5261455 dtlb_misses=403333 dcache_accesses=2371306 dcache_misses=294511
[PERF_PROFILE] cyc=19000000 itlb_lookups=6041982 itlb_misses=170805 ptw_walks_itlb=5803 ptw_walks_dtlb=19749 ptw_busy_cycles=6279467 ptw_faults=29 fe_stall_total=11025211 fe_stall_xlate=5126868 fe_stall_icache=696055 fe_stall_backend=5202288 flush_commit=116373 flush_bru=0 flush_satp=5 dtlb_lookups=5500839 dtlb_misses=407772 dcache_accesses=2492101 dcache_misses=298296
[PERF_PROFILE] cyc=20000000 itlb_lookups=6519866 itlb_misses=172849 ptw_walks_itlb=5900 ptw_walks_dtlb=20829 ptw_busy_cycles=6904858 ptw_faults=75 fe_stall_total=11537404 fe_stall_xlate=5594636 fe_stall_icache=700373 fe_stall_backend=5242395 flush_commit=131455 flush_bru=0 flush_satp=5 dtlb_lookups=5749017 dtlb_misses=414833 dcache_accesses=2605125 dcache_misses=306438
[PERF_PROFILE] cyc=21000000 itlb_lookups=7009674 itlb_misses=173757 ptw_walks_itlb=5937 ptw_walks_dtlb=21854 ptw_busy_cycles=7731076 ptw_faults=104 fe_stall_total=12037703 fe_stall_xlate=6081656 fe_stall_icache=701702 fe_stall_backend=5254345 flush_commit=146572 flush_bru=0 flush_satp=7 dtlb_lookups=6007282 dtlb_misses=425095 dcache_accesses=2732634 dcache_misses=311164
[PERF_PROFILE] cyc=22000000 itlb_lookups=7499843 itlb_misses=173964 ptw_walks_itlb=5944 ptw_walks_dtlb=22632 ptw_busy_cycles=8674325 ptw_faults=121 fe_stall_total=12536557 fe_stall_xlate=6568545 fe_stall_icache=702861 fe_stall_backend=5265151 flush_commit=161056 flush_bru=0 flush_satp=7 dtlb_lookups=6262755 dtlb_misses=427576 dcache_accesses=2863847 dcache_misses=318237
[PERF_PROFILE] cyc=23000000 itlb_lookups=7993422 itlb_misses=173964 ptw_walks_itlb=5944 ptw_walks_dtlb=22859 ptw_busy_cycles=9653403 ptw_faults=127 fe_stall_total=13035798 fe_stall_xlate=7059364 fe_stall_icache=703669 fe_stall_backend=5272765 flush_commit=169527 flush_bru=0 flush_satp=7 dtlb_lookups=6455384 dtlb_misses=428049 dcache_accesses=2959456 dcache_misses=320412
[PERF_PROFILE] cyc=24000000 itlb_lookups=8477908 itlb_misses=174758 ptw_walks_itlb=5971 ptw_walks_dtlb=23920 ptw_busy_cycles=10544796 ptw_faults=158 fe_stall_total=13540476 fe_stall_xlate=7536820 fe_stall_icache=706686 fe_stall_backend=5296970 flush_commit=185903 flush_bru=0 flush_satp=7 dtlb_lookups=6716438 dtlb_misses=432532 dcache_accesses=3084179 dcache_misses=327296
[PERF_PROFILE] cyc=25000000 itlb_lookups=8967958 itlb_misses=174758 ptw_walks_itlb=5971 ptw_walks_dtlb=23971 ptw_busy_cycles=11285783 ptw_faults=163 fe_stall_total=14031384 fe_stall_xlate=8025663 fe_stall_icache=706873 fe_stall_backend=5298848 flush_commit=204297 flush_bru=0 flush_satp=7 dtlb_lookups=7276244 dtlb_misses=432694 dcache_accesses=3368819 dcache_misses=329791
[PERF_PROFILE] cyc=26000000 itlb_lookups=9454688 itlb_misses=174758 ptw_walks_itlb=5971 ptw_walks_dtlb=23989 ptw_busy_cycles=12279735 ptw_faults=166 fe_stall_total=14518114 fe_stall_xlate=8512366 fe_stall_icache=706873 fe_stall_backend=5298875 flush_commit=229760 flush_bru=0 flush_satp=7 dtlb_lookups=7877103 dtlb_misses=432748 dcache_accesses=3639589 dcache_misses=330041
[PERF_PROFILE] cyc=27000000 itlb_lookups=9948279 itlb_misses=174758 ptw_walks_itlb=5971 ptw_walks_dtlb=24464 ptw_busy_cycles=13264717 ptw_faults=177 fe_stall_total=15014959 fe_stall_xlate=9004308 fe_stall_icache=707301 fe_stall_backend=5303350 flush_commit=241914 flush_bru=0 flush_satp=7 dtlb_lookups=8354244 dtlb_misses=433786 dcache_accesses=3882289 dcache_misses=332446
[PERF_PROFILE] cyc=28000000 itlb_lookups=10434760 itlb_misses=175593 ptw_walks_itlb=6001 ptw_walks_dtlb=25415 ptw_busy_cycles=13989606 ptw_faults=216 fe_stall_total=15516910 fe_stall_xlate=9486401 fe_stall_icache=709157 fe_stall_backend=5321352 flush_commit=258838 flush_bru=0 flush_satp=7 dtlb_lookups=8598549 dtlb_misses=438307 dcache_accesses=4010711 dcache_misses=341433
[PERF_PROFILE] cyc=29000000 itlb_lookups=10917074 itlb_misses=175799 ptw_walks_itlb=6008 ptw_walks_dtlb=26510 ptw_busy_cycles=14886427 ptw_faults=255 fe_stall_total=16022095 fe_stall_xlate=9960678 fe_stall_icache=712109 fe_stall_backend=5349308 flush_commit=276133 flush_bru=0 flush_satp=7 dtlb_lookups=8866104 dtlb_misses=441637 dcache_accesses=4141365 dcache_misses=350884
[PERF_PROFILE] cyc=30000000 itlb_lookups=11401505 itlb_misses=176011 ptw_walks_itlb=6015 ptw_walks_dtlb=27335 ptw_busy_cycles=15814715 ptw_faults=277 fe_stall_total=16527662 fe_stall_xlate=10437674 fe_stall_icache=714949 fe_stall_backend=5375039 flush_commit=290792 flush_bru=0 flush_satp=7 dtlb_lookups=9134643 dtlb_misses=444102 dcache_accesses=4269060 dcache_misses=356082
[PERF_PROFILE] cyc=31000000 itlb_lookups=11889949 itlb_misses=176223 ptw_walks_itlb=6022 ptw_walks_dtlb=28042 ptw_busy_cycles=16713961 ptw_faults=309 fe_stall_total=17027227 fe_stall_xlate=10922022 fe_stall_icache=716334 fe_stall_backend=5388871 flush_commit=306619 flush_bru=0 flush_satp=7 dtlb_lookups=9422932 dtlb_misses=446522 dcache_accesses=4415982 dcache_misses=362718
[PERF_PROFILE] cyc=32000000 itlb_lookups=12376179 itlb_misses=176640 ptw_walks_itlb=6037 ptw_walks_dtlb=28931 ptw_busy_cycles=17630769 ptw_faults=341 fe_stall_total=17528938 fe_stall_xlate=11404702 fe_stall_icache=717986 fe_stall_backend=5406250 flush_commit=321341 flush_bru=0 flush_satp=7 dtlb_lookups=9665707 dtlb_misses=449736 dcache_accesses=4537453 dcache_misses=369010
[PERF_PROFILE] cyc=33000000 itlb_lookups=12863422 itlb_misses=176640 ptw_walks_itlb=6037 ptw_walks_dtlb=29673 ptw_busy_cycles=18577911 ptw_faults=366 fe_stall_total=18030385 fe_stall_xlate=11887902 fe_stall_icache=719581 fe_stall_backend=5422902 flush_commit=335441 flush_bru=0 flush_satp=7 dtlb_lookups=9906919 dtlb_misses=451497 dcache_accesses=4657680 dcache_misses=374218
[PERF_PROFILE] cyc=34000000 itlb_lookups=13353634 itlb_misses=176640 ptw_walks_itlb=6037 ptw_walks_dtlb=30424 ptw_busy_cycles=19569133 ptw_faults=396 fe_stall_total=18527944 fe_stall_xlate=12376046 fe_stall_icache=720566 fe_stall_backend=5431332 flush_commit=349763 flush_bru=0 flush_satp=7 dtlb_lookups=10149126 dtlb_misses=453006 dcache_accesses=4779906 dcache_misses=378438
